,coef,ci_lo,ci_hi,pvalue,se
AGE,0.1304791250147909,0.09308069513482173,0.16787755489476006,8.024764275302948e-12,0.01908118219261334
APOE4_DOSE,-0.08167288002477245,-2.256969927240958,2.0936241671914133,0.9413381670945544,1.1098658262981622
APOE4_DOSE:HIPPO_ICV_ADJ,1.5634309841324467,-1.4815351662179623,4.608397134482856,0.31425248965149843,1.5535827057888378
C(BL_DX_LABEL)[T.CN],-19.073913710757203,-19.96739525672562,-18.180432164788787,0.0,0.45586630826692986
C(BL_DX_LABEL)[T.MCI],-13.407196237671283,-14.207259736336836,-12.60713273900573,1.368361170220215e-236,0.408203163413385
GDTOTAL,0.08770101733094847,0.029446561935728373,0.14595547272616857,0.003170650305505393,0.029722207068458305
Group Var,,2.389577704081441,2.8174345590138614,9.485648115824895e-126,0.10914916251199008
Group x YEARS_FROM_BL Cov,,0.4168373539678166,0.5435674247388022,6.623435137922972e-50,0.03232969375218527
HIPPO_ICV_ADJ,4.422119823586722,1.488778889721786,7.355460757451658,0.0031295484980387294,1.4966300182058216
Intercept,19.401333290402377,15.7917928003616,23.010873780443152,5.968767958131059e-26,1.841636131333214
PTEDUCAT,-0.3026437570100365,-0.39771061974439154,-0.20757689427568143,4.389371080469451e-10,0.04850439267467685
SEX_MALE,1.274470443252488,0.7409026602779463,1.8080382262270298,2.847349856468198e-06,0.27223346305506446
YEARS_FROM_BL,-1.60226552095272,-2.4556553259568625,-0.7488757159485772,0.0002333323260808524,0.43541096251542
YEARS_FROM_BL Var,,0.30603309000286605,0.38527314342951546,1.5065753502701216e-65,0.020214670792852527
YEARS_FROM_BL:APOE4_DOSE,0.3232122991934734,-0.6607409072627511,1.307165505649698,0.5196949890452194,0.5020261669181281
YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,1.2906231839293723,-0.10846604054610864,2.689712408404853,0.07060409330276053,0.7138341497656683
YEARS_FROM_BL:HIPPO_ICV_ADJ,3.347821770049733,2.1583556133739723,4.537287926725494,3.4594972605742044e-08,0.606881639692422
