Outcome,Parameter,Coef,CI_lo,CI_hi,P_value
MMSE,Intercept,23.4419,22.3579,24.5258,0.0
MMSE,C(BL_DX_LABEL)[T.CN],5.6546,5.3837,5.9255,0.0
MMSE,C(BL_DX_LABEL)[T.MCI],4.5482,4.305,4.7914,0.0
MMSE,YEARS_FROM_BL,0.8375,0.3851,1.2899,0.0003
MMSE,APOE4_DOSE,-0.0385,-0.6866,0.6096,0.9072
MMSE,YEARS_FROM_BL:APOE4_DOSE,0.0579,-0.4488,0.5646,0.8227
MMSE,HIPPO_ICV_ADJ,-0.9383,-1.8069,-0.0696,0.0343
MMSE,YEARS_FROM_BL:HIPPO_ICV_ADJ,-1.7681,-2.3989,-1.1374,0.0
MMSE,APOE4_DOSE:HIPPO_ICV_ADJ,-0.1254,-1.034,0.7831,0.7867
MMSE,YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,-0.7932,-1.5105,-0.0759,0.0302
MMSE,AGE,-0.0168,-0.028,-0.0055,0.0035
MMSE,SEX_MALE,-0.0873,-0.2463,0.0717,0.2817
MMSE,PTEDUCAT,0.1182,0.0899,0.1465,0.0
MMSE,GDTOTAL,-0.029,-0.0555,-0.0024,0.0326
CDR_SB,Intercept,4.511,3.9143,5.1078,0.0
CDR_SB,C(BL_DX_LABEL)[T.CN],-4.1966,-4.349,-4.0442,0.0
CDR_SB,C(BL_DX_LABEL)[T.MCI],-2.9996,-3.1347,-2.8645,0.0
CDR_SB,YEARS_FROM_BL,-0.6553,-0.9409,-0.3697,0.0
CDR_SB,APOE4_DOSE,-0.4545,-0.8118,-0.0971,0.0127
CDR_SB,YEARS_FROM_BL:APOE4_DOSE,0.0198,-0.293,0.3326,0.9011
CDR_SB,HIPPO_ICV_ADJ,0.3911,-0.0896,0.8719,0.1108
CDR_SB,YEARS_FROM_BL:HIPPO_ICV_ADJ,1.3512,0.9542,1.7482,0.0
CDR_SB,APOE4_DOSE:HIPPO_ICV_ADJ,0.6267,0.126,1.1274,0.0142
CDR_SB,YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,0.4699,0.0287,0.9111,0.0368
CDR_SB,AGE,-0.0027,-0.0089,0.0035,0.3951
CDR_SB,SEX_MALE,0.0535,-0.0346,0.1415,0.2342
CDR_SB,PTEDUCAT,-0.0208,-0.0365,-0.0051,0.0095
CDR_SB,GDTOTAL,0.0168,0.0035,0.0301,0.0131
ADAS_Cog13,Intercept,19.4013,15.7918,23.0109,0.0
ADAS_Cog13,C(BL_DX_LABEL)[T.CN],-19.0739,-19.9674,-18.1804,0.0
ADAS_Cog13,C(BL_DX_LABEL)[T.MCI],-13.4072,-14.2073,-12.6071,0.0
ADAS_Cog13,YEARS_FROM_BL,-1.6023,-2.4557,-0.7489,0.0002
ADAS_Cog13,APOE4_DOSE,-0.0817,-2.257,2.0936,0.9413
ADAS_Cog13,YEARS_FROM_BL:APOE4_DOSE,0.3232,-0.6607,1.3072,0.5197
ADAS_Cog13,HIPPO_ICV_ADJ,4.4221,1.4888,7.3555,0.0031
ADAS_Cog13,YEARS_FROM_BL:HIPPO_ICV_ADJ,3.3478,2.1584,4.5373,0.0
ADAS_Cog13,APOE4_DOSE:HIPPO_ICV_ADJ,1.5634,-1.4815,4.6084,0.3143
ADAS_Cog13,YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,1.2906,-0.1085,2.6897,0.0706
ADAS_Cog13,AGE,0.1305,0.0931,0.1679,0.0
ADAS_Cog13,SEX_MALE,1.2745,0.7409,1.808,0.0
ADAS_Cog13,PTEDUCAT,-0.3026,-0.3977,-0.2076,0.0
ADAS_Cog13,GDTOTAL,0.0877,0.0294,0.146,0.0032
