,coef,ci_lo,ci_hi,pvalue,se
AGE,-0.00270688476667039,-0.008946202466165157,0.003532432932824377,0.3951489793997661,0.0031833838523104042
APOE4_DOSE,-0.4544841197354184,-0.8118256669958311,-0.09714257247500568,0.012674870637767933,0.1823204661305398
APOE4_DOSE:HIPPO_ICV_ADJ,0.6266827240309577,0.12595634857175309,1.1274090994901624,0.014167523899018146,0.255477334996393
C(BL_DX_LABEL)[T.CN],-4.196619025465912,-4.349047154788924,-4.044190896142901,0.0,0.07777088279445207
C(BL_DX_LABEL)[T.MCI],-2.9995981185261456,-3.134653476655699,-2.864542760396592,0.0,0.06890706114747673
GDTOTAL,0.016833690495667963,0.0035423998860341626,0.030124981105301762,0.013052474310750349,0.006781395328931453
Group Var,,0.8847758295625752,1.089608761887169,1.3248865532879949e-79,0.052254259246672374
Group x YEARS_FROM_BL Cov,,0.34553034949038997,0.46945564308362375,5.153330573999388e-38,0.031614176222303225
HIPPO_ICV_ADJ,0.3911253340225494,-0.08963287435787043,0.8718835424029692,0.1108135682804698,0.24528930744267713
Intercept,4.511045721730021,3.914261690983121,5.1078297524769205,1.1680493776279845e-49,0.30448724336480454
PTEDUCAT,-0.020764908836146886,-0.03645607385741234,-0.005073743814881428,0.009494403946228145,0.00800584354867506
SEX_MALE,0.05345249142228673,-0.03460754048130595,0.1415125233258794,0.23416460170145192,0.04492941329442734
YEARS_FROM_BL,-0.6552920732818147,-0.940903888200843,-0.3696802583627864,6.897286013503704e-06,0.1457229914283619
YEARS_FROM_BL Var,,0.7615490894591269,0.9305129225579863,8.958773621787091e-86,0.043103810690304674
YEARS_FROM_BL:APOE4_DOSE,0.019828592756510506,-0.29296689305599427,0.33262407856901527,0.9011211604262619,0.15959246612682462
YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,0.46993252975266114,0.02871709563788566,0.9111479638674367,0.03684017472297936,0.22511405188821149
YEARS_FROM_BL:HIPPO_ICV_ADJ,1.3511859968445812,0.9542207650749881,1.7481512286141743,2.5353974498898692e-11,0.20253700318006057
