,coef,ci_lo,ci_hi,pvalue,se
AGE,-0.016761233695650992,-0.028025705876134475,-0.005496761515167509,0.003541256657506571,0.0057472852916360725
APOE4_DOSE,-0.03853066526841456,-0.686632681575181,0.6095713510383519,0.9072381506233819,0.33067037017971374
APOE4_DOSE:HIPPO_ICV_ADJ,-0.12541394242967152,-1.033973200585351,0.7831453157260079,0.7867404553985295,0.4635591599245083
C(BL_DX_LABEL)[T.CN],5.654606185720069,5.383687155817918,5.92552521562222,0.0,0.13822653479305028
C(BL_DX_LABEL)[T.MCI],4.548216704925911,4.3050480389895585,4.791385370862263,3.279018326088106e-294,0.12406792566314247
GDTOTAL,-0.028955812137324392,-0.05551226864471594,-0.0023993556299328443,0.03259431230825107,0.013549461478305463
Group Var,,0.5483676143622721,0.6930494536949977,1.8281429356243117e-63,0.036909310700083645
Group x YEARS_FROM_BL Cov,,0.2430812982355746,0.31889763969795965,8.055832247170281e-48,0.01934125883445173
HIPPO_ICV_ADJ,-0.9382719719760658,-1.806941030645592,-0.06960291330653956,0.03425917604816581,0.44320664334726406
Intercept,23.44185473411025,22.35789948556581,24.525809982654692,0.0,0.553048554511481
PTEDUCAT,0.11817658010647444,0.08986559570065089,0.146487564512298,2.807003876457829e-16,0.014444645222635201
SEX_MALE,-0.08732622844955178,-0.24631546261263743,0.07166300571353389,0.28169146538305667,0.08111844677615122
YEARS_FROM_BL,0.8374830392026446,0.3850677482671921,1.289898330138097,0.00028544460409999744,0.23082836955375027
YEARS_FROM_BL Var,,0.3817948613196774,0.48419703173732537,1.0571534892368263e-61,0.026123482682687854
YEARS_FROM_BL:APOE4_DOSE,0.05792633216954157,-0.44878637534058563,0.5646390396796688,0.8227114218946308,0.25853164216639307
YEARS_FROM_BL:APOE4_DOSE:HIPPO_ICV_ADJ,-0.7932053821859967,-1.5104816737498958,-0.07592909062209763,0.030201250370532142,0.36596401628891295
YEARS_FROM_BL:HIPPO_ICV_ADJ,-1.768133119986246,-2.3988512564191558,-1.1374149835533363,3.918314773791694e-08,0.32180088073451035
